customer_id,customer_name,customer_type,customer_segment,city,state,region,registration_date,preferred_payment
CUST1001,Sachin Hazarika,Retail,Premium,Chennai,Tamil Nadu,South,2023-11-20,UPI
CUST1002,Manoj Puri,Retail,New,Cuttack,Odisha,East,2024-11-08,Debit Card
CUST1003,Diya Banerjee,Retail,Premium,Vadodara,Gujarat,West,2024-10-08,Debit Card
CUST1004,Meera Gogoi,Retail,Premium,Pune,Maharashtra,West,2024-09-17,Debit Card
CUST1005,Amit Kumar,Retail,Premium,Jaipur,Rajasthan,North,2025-02-18,Debit Card
CUST1006,Abhinav Jog,Retail,Regular,Jaipur,Rajasthan,North,2023-09-05,UPI
CUST1007,Hitesh Rawat,Retail,Regular,Gurugram,Haryana,North,2024-03-04,Debit Card
CUST1008,Rajesh Sharma,Retail,Regular,Kolkata,West Bengal,East,2025-05-24,Wallet
CUST1009,Kamal Luthra,Retail,Regular,Pune,Maharashtra,West,2025-08-01,Wallet
CUST1010,Ojas Das,Retail,Regular,Nashik,Maharashtra,West,2024-01-01,UPI
CUST1011,Rakesh Hegde,Enterprise,New,New Delhi,Delhi,North,2025-01-18,Net Banking
CUST1012,Garima Das,Retail,Premium,Shillong,Meghalaya,East,2024-02-09,Credit Card
CUST1013,Naveen Patel,Wholesale,New,Indore,Madhya Pradesh,West,2024-06-22,UPI
CUST1014,Aarav Dutta,Enterprise,Regular,Varanasi,Uttar Pradesh,North,2025-02-04,Net Banking
CUST1015,Jaya Rawat,Retail,Premium,Lucknow,Uttar Pradesh,North,2024-08-01,UPI
CUST1016,Ritu Yadav,Retail,Premium,Lucknow,Uttar Pradesh,North,2024-08-06,COD
CUST1017,Ritika Patil,Retail,Premium,Bangalore,Karnataka,South,2024-03-01,Credit Card
CUST1018,Aman Bose,Retail,Regular,Salem,Tamil Nadu,South,2023-09-10,UPI
CUST1019,Ajay Luthra,Retail,Regular,Kochi,Kerala,South,2024-01-03,COD
CUST1020,Sumit Gupta,Wholesale,Regular,Bangalore,Karnataka,South,2025-04-16,UPI
CUST1021,Disha Sethi,Retail,New,Pune,Maharashtra,West,2023-12-26,Credit Card
CUST1022,Utkarsh Kumar,Enterprise,New,Chandigarh,Chandigarh,North,2024-09-09,Net Banking
CUST1023,Ira Rajput,Wholesale,Premium,Bangalore,Karnataka,South,2025-02-19,COD
CUST1024,Tara Reddy,Retail,Regular,Chennai,Tamil Nadu,South,2025-04-21,UPI
CUST1025,Nikhil Kapoor,Retail,New,Coimbatore,Tamil Nadu,South,2025-06-21,UPI
CUST1026,Arjun Reddy,Retail,Regular,Kolhapur,Maharashtra,West,2025-07-28,UPI
CUST1027,Kunal Mukherjee,Retail,Regular,Ludhiana,Punjab,North,2024-11-18,UPI
CUST1028,Kabir Bhatia,Retail,Regular,Tirupati,Andhra Pradesh,South,2025-03-04,Net Banking
CUST1029,Lalit Mahanta,Wholesale,Regular,Pune,Maharashtra,West,2025-08-09,UPI
CUST1030,Jatin Jain,Retail,Regular,Gurugram,Haryana,North,2025-08-02,Debit Card
CUST1031,Suhana Verma,Retail,Regular,Pune,Maharashtra,West,2024-06-25,Net Banking
CUST1032,Anita Chopra,Wholesale,Regular,Jaipur,Rajasthan,North,2025-06-30,COD
CUST1033,Bhumi Tiwari,Retail,Regular,Gurugram,Haryana,North,2025-05-20,Debit Card
CUST1034,Navya Yadav,Retail,New,Cuttack,Odisha,East,2024-10-23,COD
CUST1035,Rakesh Tayal,Retail,New,Imphal,Manipur,East,2025-05-15,Net Banking
CUST1036,Vishal Wadhwa,Retail,Regular,Bhopal,Madhya Pradesh,West,2023-12-16,UPI
CUST1037,Saurabh Borah,Wholesale,Regular,Bangalore,Karnataka,South,2024-03-12,COD
CUST1038,Navya Goel,Enterprise,Premium,Noida,Uttar Pradesh,North,2024-05-17,UPI
CUST1039,Bhumi Goel,Retail,Regular,Nagpur,Maharashtra,West,2024-08-22,UPI
CUST1040,Pooja Ahuja,Retail,Regular,Kochi,Kerala,South,2024-02-02,Net Banking
CUST1041,Vijay Tyagi,Retail,Regular,Noida,Uttar Pradesh,North,2025-01-11,Debit Card
CUST1042,Mayank Gogoi,Wholesale,Regular,Madurai,Tamil Nadu,South,2024-07-25,UPI
CUST1043,Ganesh Sharma,Retail,New,New Delhi,Delhi,North,2023-09-04,UPI
CUST1044,Ishita Mehta,Retail,New,Patna,Bihar,East,2023-12-13,UPI
CUST1045,Yamini Borah,Retail,Regular,Jammu,Jammu & Kashmir,North,2024-01-21,COD
CUST1046,Vivek Tayal,Enterprise,Premium,Surat,Gujarat,West,2023-11-06,Debit Card
CUST1047,Pradeep Rajput,Retail,Premium,Bangalore,Karnataka,South,2025-06-11,Net Banking
CUST1048,Dinesh Dutta,Retail,Premium,Hubli,Karnataka,South,2024-06-20,UPI
CUST1049,Om Barua,Wholesale,Premium,Mumbai,Maharashtra,West,2023-10-12,Credit Card
CUST1050,Pradeep Arora,Retail,VIP,Lucknow,Uttar Pradesh,North,2023-10-01,Debit Card
CUST1051,Aarav Kulkarni,Retail,VIP,Shillong,Meghalaya,East,2025-07-15,Debit Card
CUST1052,Farhan Banerjee,Retail,Regular,Thane,Maharashtra,West,2023-12-18,Credit Card
CUST1053,Ankit Patel,Enterprise,Regular,Siliguri,West Bengal,East,2023-08-31,UPI
CUST1054,Varun Sethi,Retail,New,Kolkata,West Bengal,East,2024-07-23,Net Banking
CUST1055,Shivam Roy,Retail,VIP,Pune,Maharashtra,West,2025-05-19,Debit Card
CUST1056,Paras Mehta,Retail,Regular,Bhubaneswar,Odisha,East,2024-09-06,Credit Card
CUST1057,Nitin Chadha,Wholesale,New,Noida,Uttar Pradesh,North,2023-12-16,COD
CUST1058,Sneha Bose,Retail,Regular,Amritsar,Punjab,North,2024-12-01,COD
CUST1059,Ramesh Hegde,Retail,Premium,Gurugram,Haryana,North,2025-07-28,Credit Card
CUST1060,Tanvi Mukherjee,Retail,Premium,Bangalore,Karnataka,South,2025-06-16,UPI
CUST1061,Aman Malhotra,Retail,Regular,Hyderabad,Telangana,South,2024-01-04,COD
CUST1062,Gaurav Bansal,Wholesale,Regular,Faridabad,Haryana,North,2023-12-06,Credit Card
CUST1063,Kavita Bedi,Retail,Premium,Indore,Madhya Pradesh,West,2024-12-28,Credit Card
CUST1064,Vidya Roy,Wholesale,Regular,Chennai,Tamil Nadu,South,2024-02-23,Debit Card
CUST1065,Parul Naik,Wholesale,New,Faridabad,Haryana,North,2024-08-23,Net Banking
CUST1066,Parul Singh,Enterprise,Premium,Mumbai,Maharashtra,West,2025-07-22,Debit Card
CUST1067,Manoj Gogoi,Retail,Regular,Chandigarh,Chandigarh,North,2025-01-02,UPI
CUST1068,Harshit Chatterjee,Retail,New,Bhopal,Madhya Pradesh,West,2024-11-15,UPI
CUST1069,Rohit Joshi,Retail,New,Gurugram,Haryana,North,2024-05-15,UPI
CUST1070,Sara Iyer,Enterprise,New,Aizawl,Mizoram,East,2023-09-03,UPI
CUST1071,Naina Rawat,Wholesale,Premium,Thane,Maharashtra,West,2025-04-03,COD
CUST1072,Urmila Luthra,Retail,Regular,Amritsar,Punjab,North,2025-07-07,Wallet
CUST1073,Madhav Negi,Enterprise,Regular,New Delhi,Delhi,North,2025-02-07,Credit Card
CUST1074,Tanishka Raina,Wholesale,Regular,Bhopal,Madhya Pradesh,West,2023-11-27,UPI
CUST1075,Swati Pandey,Enterprise,Regular,Nashik,Maharashtra,West,2024-12-27,Credit Card
CUST1076,Ojas Hegde,Retail,New,Vadodara,Gujarat,West,2024-01-21,UPI
CUST1077,Sonia Puri,Wholesale,Regular,Thane,Maharashtra,West,2023-10-16,Debit Card
CUST1078,Vikram Bansal,Wholesale,Regular,Gurugram,Haryana,North,2025-01-20,UPI
CUST1079,Kajal Borah,Retail,Premium,Chennai,Tamil Nadu,South,2024-02-07,UPI
CUST1080,Sandeep Hazarika,Enterprise,Premium,Noida,Uttar Pradesh,North,2024-07-15,COD
CUST1081,Harish Pillai,Retail,New,Kolkata,West Bengal,East,2024-06-01,Debit Card
CUST1082,Nikhil Phukan,Retail,New,Ahmedabad,Gujarat,West,2024-04-06,UPI
CUST1083,Preeti Naik,Wholesale,Regular,Bangalore,Karnataka,South,2024-10-07,UPI
CUST1084,Ganesh Agarwal,Retail,Regular,Gurugram,Haryana,North,2024-12-04,Net Banking
CUST1085,Nidhi Chawla,Wholesale,Premium,Bangalore,Karnataka,South,2024-11-22,UPI
CUST1086,Mohit Borah,Retail,Premium,Bangalore,Karnataka,South,2024-11-21,UPI
CUST1087,Farhan Bhatia,Retail,New,Vadodara,Gujarat,West,2025-01-12,Debit Card
CUST1088,Sara Gupta,Retail,New,Ahmedabad,Gujarat,West,2023-12-05,COD
CUST1089,Neha Chatterjee,Retail,Regular,Kolkata,West Bengal,East,2023-09-27,Debit Card
CUST1090,Sonia Tyagi,Wholesale,Premium,Trivandrum,Kerala,South,2023-08-22,Credit Card
CUST1091,Vivek Mehra,Retail,Premium,Noida,Uttar Pradesh,North,2025-05-16,COD
CUST1092,Ira Bhatt,Retail,New,Nashik,Maharashtra,West,2025-01-23,UPI
CUST1093,Tanya Jain,Retail,VIP,Aurangabad,Maharashtra,West,2025-06-22,UPI
CUST1094,Ishita Dutta,Wholesale,Regular,Mumbai,Maharashtra,West,2024-08-05,Debit Card
CUST1095,Utkarsh Reddy,Retail,Regular,Thane,Maharashtra,West,2024-04-06,UPI
CUST1096,Komal Pillai,Wholesale,New,Visakhapatnam,Andhra Pradesh,South,2025-03-17,UPI
CUST1097,Saanvi Kapadia,Retail,New,Salem,Tamil Nadu,South,2024-12-18,UPI
CUST1098,Trisha Kulkarni,Retail,Premium,Kochi,Kerala,South,2024-11-27,UPI
CUST1099,Kunal Chopra,Wholesale,New,New Delhi,Delhi,North,2025-06-26,Net Banking
CUST1100,Tarun Sharma,Retail,Regular,Noida,Uttar Pradesh,North,2024-08-05,Debit Card
CUST1101,Raghav Ahuja,Retail,New,New Delhi,Delhi,North,2025-03-04,UPI
CUST1102,Bhumi Jog,Wholesale,New,Ahmedabad,Gujarat,West,2025-08-09,UPI
